PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARD
Paul Willemse,202,0,1,0,0,0,49,12,0,16,4,0,0,2,42,4,4,0,0,2,2,5,0,0,1,0,0,0
Romain Ntamack,367,1,4,0,0,0,197,23,1507,109,89,3,7,0,41,7,0,0,0,1,7,1,0,0,2,0,0,0
Damian Penaud,400,5,1,0,0,0,406,29,195,46,20,3,25,5,24,10,2,0,1,8,7,1,0,0,0,0,0,0
Julien Marchand,315,0,0,0,0,0,103,30,0,37,10,3,2,0,58,4,0,3,0,1,0,3,0,0,0,0,0,0
Gregory Alldritt,285,0,1,0,0,0,247,46,5,52,8,2,8,1,42,6,3,3,0,2,2,2,0,0,4,0,0,0
Gael Fickou,400,2,1,0,0,0,316,46,65,81,39,5,18,0,67,3,2,0,0,3,3,5,2,0,3,0,0,0
Dorian Aldegheri,50,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
Antoine Dupont,384,1,4,0,0,0,256,51,1588,324,279,7,17,2,54,5,3,1,2,10,11,4,4,0,1,0,0,0
Thomas Ramos,381,3,2,18,10,1,504,50,1354,102,54,3,13,0,8,4,2,1,0,5,4,3,1,0,0,0,0,0
Yoram Moefana,260,0,0,0,0,0,155,19,0,30,12,1,5,0,24,8,0,0,0,0,1,1,0,0,0,0,0,0
Ethan Dumortier,383,2,1,0,0,0,234,31,109,40,12,3,21,0,13,6,0,1,1,3,0,1,0,0,0,0,0,0
Romain Taofifenua,178,0,1,0,0,0,51,18,0,22,6,2,1,1,34,1,2,4,0,2,1,5,1,0,1,0,0,0
Cyril Baille,281,0,0,0,0,0,175,40,0,49,12,3,3,1,39,3,1,0,0,1,3,0,0,0,0,0,0,0
Charles Ollivon,356,3,0,0,0,0,219,45,0,56,16,5,5,4,65,7,2,2,2,6,4,5,1,0,13,1,1,0
Jonathan Danty,145,1,0,0,0,0,99,15,39,17,3,1,1,1,18,2,1,1,1,2,2,2,1,0,0,0,0,0
Francois Cros,234,0,0,0,0,0,66,14,0,18,4,0,5,0,49,7,4,1,0,0,1,0,0,0,2,0,0,0
Peato Mauvaka,49,0,0,0,0,0,26,4,0,6,2,0,0,1,8,2,0,2,0,1,1,0,0,0,0,1,0,0
Reda Wardi,119,0,0,0,0,0,24,11,0,13,3,1,1,0,23,1,1,0,0,0,0,1,0,0,0,0,0,0
Maxime Lucu,16,0,0,0,0,0,3,1,87,7,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Sipili Falatea,195,0,0,0,0,0,46,10,0,13,4,1,1,0,25,4,5,0,0,1,0,6,0,5,0,0,0,0
Sekou Macalou,70,0,0,0,0,0,23,3,0,3,1,1,0,0,13,2,0,1,0,0,0,0,0,0,2,0,0,0
Thibaud Flament,400,3,0,0,0,0,168,30,0,44,16,2,6,1,81,3,4,1,1,3,3,3,2,0,17,1,0,0
Melvyn Jaminet,7,0,1,0,0,0,11,1,65,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mako Vunipola,103,0,0,0,0,0,81,16,0,21,5,0,0,0,13,1,0,0,0,0,0,2,0,1,0,0,0,0
Jamie George,393,2,0,0,0,0,74,23,0,37,14,0,1,0,55,8,2,0,0,1,1,2,0,0,0,0,0,0
