PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Cameron Redpath,0.0,0.0,0.0,0.0,0.0,6.4,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.4,1,13.4
Ange Capuozzo,30.0,7.0,0.0,0.0,0.0,42.2,56.0,10.0,0.0,0.0,0.0,,,,145.2,115,1.2626086956521738
Andrea Zambonin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,-0.0,-0.0,10.0,9,1.1111111111111112
Michael Lowry,30.0,7.0,0.0,0.0,0.0,22.8,21.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,83.8,80,1.0474999999999999
Sam Underhill,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,28.0,7.0,7.0,0.0,-0.0,-0.0,63.0,65,0.9692307692307692
Mark Bennett,0.0,0.0,0.0,0.0,0.0,24.8,28.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,55.8,59,0.9457627118644067
Kieran Treadwell,15.0,0.0,0.0,0.0,0.0,5.4,7.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,33.4,37,0.9027027027027027
Alex Dombrandt,15.0,0.0,0.0,0.0,0.0,56.2,42.0,27.0,7.0,42.0,14.0,14.0,-0.0,-0.0,217.2,244,0.8901639344262294
James Lowe,45.0,14.0,0.0,0.0,0.0,88.2,56.0,3.0,0.0,7.0,0.0,0.0,-0.0,-0.0,213.2,240,0.8883333333333333
Marcus Smith,30.0,7.0,10.0,85.0,0.0,82.4,70.0,29.0,0.0,0.0,14.0,0.0,-0.0,-0.0,327.4,383,0.8548302872062663
Rory Darge,15.0,0.0,0.0,0.0,0.0,34.4,56.0,43.0,21.0,35.0,14.0,0.0,-0.0,-0.0,218.4,258,0.8465116279069768
